# Map of average order parameters calculated for atom type POPC-C22-32 of molecule type POPC.
# Calculated with 'gorder v0.4.0'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($-S_{CH}$)
@ zrange -1.0 0.5 0.25
$ type colorbar
$ colormap seismic_r
0.2000 1.9000 0.1105
0.2000 2.0000 0.1051
0.2000 2.1000 0.1102
0.2000 2.2000 0.1123
0.2000 2.3000 0.1099
0.2000 2.4000 0.0987
0.2000 2.5000 0.0979
0.2000 2.6000 0.1076
0.2000 2.7000 0.0879
0.2000 2.8000 0.0927
0.2000 2.9000 0.0811
0.2000 3.0000 0.0920
0.2000 3.1000 0.1024
0.2000 3.2000 0.0737
0.2000 3.3000 0.1108
0.2000 3.4000 0.1031
0.2000 3.5000 0.1149
0.2000 3.6000 0.0765
0.2000 3.7000 0.0774
0.2000 3.8000 0.0867
0.2000 3.9000 0.0804
0.2000 4.0000 0.0452
0.2000 4.1000 0.0687
0.2000 4.2000 0.0767
0.2000 4.3000 0.0923
0.2000 4.4000 0.0716
0.2000 4.5000 0.0878
0.2000 4.6000 0.0820
0.2000 4.7000 0.0831
0.2000 4.8000 0.0691
0.2000 4.9000 0.0802
0.2000 5.0000 0.0808
0.2000 5.1000 0.1073
0.2000 5.2000 0.1072
0.2000 5.3000 0.0896
0.2000 5.4000 0.0989
0.2000 5.5000 0.1008
0.2000 5.6000 0.0836
0.2000 5.7000 0.0839
0.2000 5.8000 0.1175
0.2000 5.9000 0.0854
0.2000 6.0000 0.0970
0.2000 6.1000 0.1175
0.2000 6.2000 0.1009
0.2000 6.3000 0.0905
0.2000 6.4000 0.0726
0.2000 6.5000 0.0936
0.2000 6.6000 0.0815
0.2000 6.7000 0.0738
0.2000 6.8000 0.0695
0.2000 6.9000 0.0679
0.2000 7.0000 0.0764
0.2000 7.1000 0.1088
0.2000 7.2000 0.0710
0.2000 7.3000 0.0785
0.2000 7.4000 0.0822
0.2000 7.5000 0.0866
0.2000 7.6000 0.0903
0.2000 7.7000 0.0804
0.2000 7.8000 0.0921
0.2000 7.9000 0.0773
0.2000 8.0000 0.0853
0.2000 8.1000 0.1122
0.2000 8.2000 0.1264
0.2000 8.3000 0.1137
0.2000 8.4000 0.1114
0.2000 8.5000 0.1146
0.2000 8.6000 0.1079
0.2000 8.7000 0.1019
0.2000 8.8000 0.1043
0.2000 8.9000 0.0641
0.2000 9.0000 0.0663
0.2000 9.1000 0.0613
0.3000 0.0000 0.1069
0.3000 0.1000 0.0847
0.3000 0.2000 0.0919
0.3000 0.3000 0.0934
0.3000 0.4000 0.0765
0.3000 0.5000 0.0769
0.3000 0.6000 0.0726
0.3000 0.7000 0.0939
0.3000 0.8000 0.1138
0.3000 0.9000 0.1225
0.3000 1.0000 0.1155
0.3000 1.1000 0.1058
0.3000 1.2000 0.0994
0.3000 1.3000 0.1050
0.3000 1.4000 0.0597
0.3000 1.5000 0.0859
0.3000 1.6000 0.0812
0.3000 1.7000 0.0848
0.3000 1.8000 0.0931
0.3000 1.9000 0.0823
0.3000 2.0000 0.0553
0.3000 2.1000 0.0785
0.3000 2.2000 0.1103
0.3000 2.3000 0.0948
0.3000 2.4000 0.1080
0.3000 2.5000 0.1116
0.3000 2.6000 0.0977
0.3000 2.7000 0.0849
0.3000 2.8000 0.0903
0.3000 2.9000 0.0868
0.3000 3.0000 0.0942
0.3000 3.1000 0.1133
0.3000 3.2000 0.1052
0.3000 3.3000 0.1280
0.3000 3.4000 0.1158
0.3000 3.5000 0.1113
0.3000 3.6000 0.0876
0.3000 3.7000 0.0925
0.3000 3.8000 0.0796
0.3000 3.9000 0.0933
0.3000 4.0000 0.0777
0.3000 4.1000 0.0704
0.3000 4.2000 0.0718
0.3000 4.3000 0.0762
0.3000 4.4000 0.0786
0.3000 4.5000 0.0714
0.3000 4.6000 0.0767
0.3000 4.7000 0.0944
0.3000 4.8000 0.0885
0.3000 4.9000 0.0746
0.3000 5.0000 0.1062
0.3000 5.1000 0.1001
0.3000 5.2000 0.0897
0.3000 5.3000 0.0835
0.3000 5.4000 0.0980
0.3000 5.5000 0.0971
0.3000 5.6000 0.0963
0.3000 5.7000 0.1130
0.3000 5.8000 0.1148
0.3000 5.9000 0.0939
0.3000 6.0000 0.0951
0.3000 6.1000 0.0885
0.3000 6.2000 0.1148
0.3000 6.3000 0.0710
0.3000 6.4000 0.0781
0.3000 6.5000 0.0749
0.3000 6.6000 0.0701
0.3000 6.7000 0.0579
0.3000 6.8000 0.0505
0.3000 6.9000 0.0642
0.3000 7.0000 0.0916
0.3000 7.1000 0.0957
0.3000 7.2000 0.0725
0.3000 7.3000 0.0669
0.3000 7.4000 0.0948
0.3000 7.5000 0.0923
0.3000 7.6000 0.1003
0.3000 7.7000 0.0948
0.3000 7.8000 0.0855
0.3000 7.9000 0.1041
0.3000 8.0000 0.0636
0.3000 8.1000 0.1061
0.3000 8.2000 0.1104
0.3000 8.3000 0.0988
0.3000 8.4000 0.1139
0.3000 8.5000 0.0991
0.3000 8.6000 0.1081
0.3000 8.7000 0.1036
0.3000 8.8000 0.0810
0.3000 8.9000 0.0855
0.3000 9.0000 0.0785
0.3000 9.1000 0.1056
0.4000 0.0000 0.1038
0.4000 0.1000 0.0968
0.4000 0.2000 0.1064
0.4000 0.3000 0.0888
0.4000 0.4000 0.0950
0.4000 0.5000 0.0819
0.4000 0.6000 0.0673
0.4000 0.7000 0.0723
0.4000 0.8000 0.0946
0.4000 0.9000 0.0962
0.4000 1.0000 0.1091
0.4000 1.1000 0.1126
0.4000 1.2000 0.0980
0.4000 1.3000 0.0926
0.4000 1.4000 0.0734
0.4000 1.5000 0.0975
0.4000 1.6000 0.0907
0.4000 1.7000 0.0915
0.4000 1.8000 0.0847
0.4000 1.9000 0.0819
0.4000 2.0000 0.0692
0.4000 2.1000 0.0653
0.4000 2.2000 0.0844
0.4000 2.3000 0.0907
0.4000 2.4000 0.0973
0.4000 2.5000 0.0992
0.4000 2.6000 0.0785
0.4000 2.7000 0.0958
0.4000 2.8000 0.0742
0.4000 2.9000 0.0799
0.4000 3.0000 0.0902
0.4000 3.1000 0.1003
0.4000 3.2000 0.0964
0.4000 3.3000 0.0950
0.4000 3.4000 0.1197
0.4000 3.5000 0.1028
0.4000 3.6000 0.0905
0.4000 3.7000 0.0949
0.4000 3.8000 0.0969
0.4000 3.9000 0.1034
0.4000 4.0000 0.1094
0.4000 4.1000 0.0604
0.4000 4.2000 0.0883
0.4000 4.3000 0.0896
0.4000 4.4000 0.0892
0.4000 4.5000 0.0898
0.4000 4.6000 0.0764
0.4000 4.7000 0.0670
0.4000 4.8000 0.0904
0.4000 4.9000 0.0788
0.4000 5.0000 0.0933
0.4000 5.1000 0.0946
0.4000 5.2000 0.0906
0.4000 5.3000 0.0894
0.4000 5.4000 0.1011
0.4000 5.5000 0.0904
0.4000 5.6000 0.1122
0.4000 5.7000 0.1173
0.4000 5.8000 0.1041
0.4000 5.9000 0.0858
0.4000 6.0000 0.0814
0.4000 6.1000 0.0893
0.4000 6.2000 0.1203
0.4000 6.3000 0.1017
0.4000 6.4000 0.0960
0.4000 6.5000 0.0808
0.4000 6.6000 0.0682
0.4000 6.7000 0.0596
0.4000 6.8000 0.0545
