# Map of average order parameters calculated for bonds between atom types POPC-C2B-9 and POPC-C3B-10.
# Calculated with 'gorder v0.2.0-beta'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($S$)
@ zrange -0.5 1.0 0.25
$ type colorbar
$ colormap seismic_r
0.1000 5.1000 0.4047
0.1000 5.2000 0.4108
0.1000 5.3000 0.3915
0.1000 5.4000 0.4088
0.1000 5.5000 0.4089
0.1000 5.6000 0.4088
0.1000 5.7000 0.4085
0.1000 5.8000 0.4065
0.1000 5.9000 0.4099
0.1000 6.0000 0.4130
0.1000 6.1000 0.4056
0.1000 6.2000 0.4188
0.1000 6.3000 0.4088
0.1000 6.4000 0.3995
0.1000 6.5000 0.4204
0.1000 6.6000 0.3998
0.1000 6.7000 0.4098
0.1000 6.8000 0.4100
0.1000 6.9000 0.4214
0.1000 7.0000 0.4123
0.1000 7.1000 0.4142
0.1000 7.2000 0.4051
0.1000 7.3000 0.4087
0.1000 7.4000 0.4074
0.1000 7.5000 0.4094
0.1000 7.6000 0.4085
0.1000 7.7000 0.4102
0.1000 7.8000 0.4193
0.1000 7.9000 0.4210
0.1000 8.0000 0.4080
0.1000 8.1000 0.4108
0.1000 8.2000 0.4053
0.1000 8.3000 0.4061
0.1000 8.4000 0.3993
0.1000 8.5000 0.4141
0.1000 8.6000 0.4115
0.1000 8.7000 0.3992
0.1000 8.8000 0.3987
0.1000 8.9000 0.4078
0.1000 9.0000 0.4188
0.1000 9.1000 0.4111
0.1000 9.2000 0.4013
0.1000 9.3000 0.4045
0.1000 9.4000 0.4014
0.1000 9.5000 0.4020
0.1000 9.6000 0.4095
0.1000 9.7000 0.4083
0.1000 9.8000 0.4025
0.1000 9.9000 0.4025
0.1000 10.0000 0.3967
0.1000 10.1000 0.3901
0.1000 10.2000 0.3956
0.1000 10.3000 0.3947
0.1000 10.4000 0.3859
0.1000 10.5000 0.4043
0.1000 10.6000 0.4046
0.1000 10.7000 0.3937
0.1000 10.8000 0.3970
0.1000 10.9000 0.4046
0.1000 11.0000 0.4039
0.1000 11.1000 0.4020
0.1000 11.2000 0.4017
0.1000 11.3000 0.4049
0.1000 11.4000 0.4029
0.1000 11.5000 0.4065
0.1000 11.6000 0.3899
0.1000 11.7000 0.3997
0.1000 11.8000 0.4081
0.1000 11.9000 0.3860
0.1000 12.0000 0.3877
0.1000 12.1000 0.4018
0.1000 12.2000 0.4134
0.1000 12.3000 0.4217
0.1000 12.4000 0.4305
0.1000 12.5000 0.4172
0.1000 12.6000 0.3900
0.1000 12.7000 0.4000
0.1000 12.8000 0.4145
0.1000 12.9000 0.4134
0.1000 13.0000 0.4141
0.1000 13.1000 0.4076
0.1000 13.2000 0.4102
0.1000 13.3000 0.4241
0.1000 13.4000 0.4133
0.1000 13.5000 0.4112
0.1000 13.6000 0.4035
0.1000 13.7000 0.3956
0.1000 13.8000 0.4120
0.1000 13.9000 0.3910
0.1000 14.0000 0.4098
0.1000 14.1000 0.4262
0.1000 14.2000 0.4301
0.1000 14.3000 0.3623
0.1000 14.4000 0.3982
0.1000 14.5000 0.3763
0.1000 14.6000 0.3555
0.1000 14.7000 0.3425
0.1000 14.8000 0.3590
0.1000 14.9000 0.2998
0.1000 15.0000 0.3551
0.1000 15.1000 0.3668
0.2000 0.0000 0.4015
0.2000 0.1000 0.4111
0.2000 0.2000 0.4064
0.2000 0.3000 0.3921
0.2000 0.4000 0.3692
0.2000 0.5000 0.3876
0.2000 0.6000 0.4304
0.2000 0.7000 0.3857
0.2000 0.8000 0.3764
0.2000 0.9000 0.4366
0.2000 1.0000 0.4152
0.2000 1.1000 0.3909
0.2000 1.2000 0.4093
0.2000 1.3000 0.3937
0.2000 1.4000 0.4128
0.2000 1.5000 0.4194
0.2000 1.6000 0.4238
0.2000 1.7000 0.4228
0.2000 1.8000 0.4123
0.2000 1.9000 0.4092
0.2000 2.0000 0.4186
0.2000 2.1000 0.4014
0.2000 2.2000 0.4065
0.2000 2.3000 0.4029
0.2000 2.4000 0.4035
0.2000 2.5000 0.4015
0.2000 2.6000 0.4189
0.2000 2.7000 0.4041
0.2000 2.8000 0.4019
0.2000 2.9000 0.4104
0.2000 3.0000 0.3942
0.2000 3.1000 0.4050
0.2000 3.2000 0.4072
0.2000 3.3000 0.3874
0.2000 3.4000 0.4125
0.2000 3.5000 0.4005
0.2000 3.6000 0.3981
0.2000 3.7000 0.4136
0.2000 3.8000 0.3937
0.2000 3.9000 0.4116
0.2000 4.0000 0.4113
0.2000 4.1000 0.4157
0.2000 4.2000 0.4214
0.2000 4.3000 0.4136
0.2000 4.4000 0.4169
0.2000 4.5000 0.4001
0.2000 4.6000 0.4057
0.2000 4.7000 0.4071
0.2000 4.8000 0.3945
0.2000 4.9000 0.3979
0.2000 5.0000 0.3980
0.2000 5.1000 0.3906
0.2000 5.2000 0.4068
0.2000 5.3000 0.4012
0.2000 5.4000 0.4170
0.2000 5.5000 0.4164
0.2000 5.6000 0.4113
0.2000 5.7000 0.4178
0.2000 5.8000 0.4070
0.2000 5.9000 0.4009
0.2000 6.0000 0.4137
0.2000 6.1000 0.4126
0.2000 6.2000 0.4054
0.2000 6.3000 0.4077
0.2000 6.4000 0.4138
0.2000 6.5000 0.4127
0.2000 6.6000 0.4171
0.2000 6.7000 0.4083
0.2000 6.8000 0.4148
0.2000 6.9000 0.4047
0.2000 7.0000 0.4134
0.2000 7.1000 0.4185
0.2000 7.2000 0.4109
0.2000 7.3000 0.4145
0.2000 7.4000 0.4139
0.2000 7.5000 0.4221
0.2000 7.6000 0.4222
0.2000 7.7000 0.4101
0.2000 7.8000 0.4148
0.2000 7.9000 0.4143
0.2000 8.0000 0.4110
0.2000 8.1000 0.4209
0.2000 8.2000 0.4057
0.2000 8.3000 0.4143
0.2000 8.4000 0.4098
0.2000 8.5000 0.4018
0.2000 8.6000 0.4172
0.2000 8.7000 0.4004
0.2000 8.8000 0.4077
0.2000 8.9000 0.4088
0.2000 9.0000 0.4047
0.2000 9.1000 0.4129
0.2000 9.2000 0.4142
0.2000 9.3000 0.4027
0.2000 9.4000 0.4104
0.2000 9.5000 0.4122
0.2000 9.6000 0.4108
0.2000 9.7000 0.3905
0.2000 9.8000 0.4043
0.2000 9.9000 0.4129
0.2000 10.0000 0.4034
0.2000 10.1000 0.3974
0.2000 10.2000 0.4024
0.2000 10.3000 0.4019
0.2000 10.4000 0.3908
0.2000 10.5000 0.3940
0.2000 10.6000 0.4029
0.2000 10.7000 0.3980
0.2000 10.8000 0.4243
0.2000 10.9000 0.4027
0.2000 11.0000 0.4088
0.2000 11.1000 0.4134
0.2000 11.2000 0.3965
0.2000 11.3000 0.4129
0.2000 11.4000 0.4041
0.2000 11.5000 0.4178
0.2000 11.6000 0.4048
0.2000 11.7000 0.4042
0.2000 11.8000 0.4103
0.2000 11.9000 0.3937
0.2000 12.0000 0.3991
0.2000 12.1000 0.4059
0.2000 12.2000 0.4195
0.2000 12.3000 0.4077
0.2000 12.4000 0.4113
0.2000 12.5000 0.3923
0.2000 12.6000 0.4142
0.2000 12.7000 0.4073
0.2000 12.8000 0.3915
0.2000 12.9000 0.4121
0.2000 13.0000 0.4000
0.2000 13.1000 0.4125
0.2000 13.2000 0.3927
0.2000 13.3000 0.3980
0.2000 13.4000 0.4126
0.2000 13.5000 0.4025
0.2000 13.6000 0.3981
0.2000 13.7000 0.4108
0.2000 13.8000 0.4070
0.2000 13.9000 0.4178
0.2000 14.0000 0.3991
0.2000 14.1000 0.4071
0.2000 14.2000 0.4195
0.2000 14.3000 0.3981
0.2000 14.4000 0.3871
0.2000 14.5000 0.3636
0.2000 14.6000 0.4064
0.2000 14.7000 0.3777
0.2000 14.8000 0.3958
0.2000 14.9000 0.3701
0.2000 15.0000 0.3951
0.2000 15.1000 0.3394
0.3000 0.0000 0.3484
0.3000 0.1000 0.3415
0.3000 0.2000 0.4076
0.3000 0.3000 0.3608
0.3000 0.4000 0.4052
0.3000 0.5000 0.4136
0.3000 0.6000 0.4043
0.3000 0.7000 0.3810
0.3000 0.8000 0.4149
0.3000 0.9000 0.3911
0.3000 1.0000 0.4159
0.3000 1.1000 0.4082
0.3000 1.2000 0.4161
0.3000 1.3000 0.4086
0.3000 1.4000 0.4150
0.3000 1.5000 0.4102
0.3000 1.6000 0.4071
0.3000 1.7000 0.3890
0.3000 1.8000 0.4024
0.3000 1.9000 0.4154
0.3000 2.0000 0.4132
0.3000 2.1000 0.4154
0.3000 2.2000 0.4159
0.3000 2.3000 0.4061
0.3000 2.4000 0.4012
0.3000 2.5000 0.4044
0.3000 2.6000 0.4236
0.3000 2.7000 0.3874
0.3000 2.8000 0.4020
0.3000 2.9000 0.3975
0.3000 3.0000 0.4135
0.3000 3.1000 0.4048
0.3000 3.2000 0.4090
0.3000 3.3000 0.4036
0.3000 3.4000 0.4032
0.3000 3.5000 0.3999
0.3000 3.6000 0.4037
0.3000 3.7000 0.4096
0.3000 3.8000 0.4056
0.3000 3.9000 0.4014
0.3000 4.0000 0.4084
0.3000 4.1000 0.3965
0.3000 4.2000 0.4020
0.3000 4.3000 0.4064
0.3000 4.4000 0.4002
0.3000 4.5000 0.4065
0.3000 4.6000 0.4110
0.3000 4.7000 0.4067
0.3000 4.8000 0.4057
0.3000 4.9000 0.4146
0.3000 5.0000 0.4116
0.3000 5.1000 0.3998
0.3000 5.2000 0.4138
0.3000 5.3000 0.4036
0.3000 5.4000 0.4026
0.3000 5.5000 0.4096
0.3000 5.6000 0.4050
0.3000 5.7000 0.4099
0.3000 5.8000 0.4138
0.3000 5.9000 0.4085
0.3000 6.0000 0.4208
0.3000 6.1000 0.4162
0.3000 6.2000 0.4108
0.3000 6.3000 0.4202
0.3000 6.4000 0.4059
0.3000 6.5000 0.4125
0.3000 6.6000 0.4089
0.3000 6.7000 0.4101
0.3000 6.8000 0.4183
0.3000 6.9000 0.4084
0.3000 7.0000 0.4215
0.3000 7.1000 0.4140
0.3000 7.2000 0.4143
0.3000 7.3000 0.4170
0.3000 7.4000 0.4142
0.3000 7.5000 0.4131
0.3000 7.6000 0.4138
0.3000 7.7000 0.4115
0.3000 7.8000 0.4275
0.3000 7.9000 0.4185
0.3000 8.0000 0.4175
0.3000 8.1000 0.4155
0.3000 8.2000 0.4180
0.3000 8.3000 0.4134
0.3000 8.4000 0.4121
0.3000 8.5000 0.4168
0.3000 8.6000 0.4054
0.3000 8.7000 0.4094
0.3000 8.8000 0.4049
0.3000 8.9000 0.4128
0.3000 9.0000 0.4150
0.3000 9.1000 0.4206
0.3000 9.2000 0.4139
0.3000 9.3000 0.4150
0.3000 9.4000 0.4166
0.3000 9.5000 0.4065
0.3000 9.6000 0.4038
0.3000 9.7000 0.4111
0.3000 9.8000 0.4108
0.3000 9.9000 0.4075
0.3000 10.0000 0.4101
0.3000 10.1000 0.4124
0.3000 10.2000 0.4066
0.3000 10.3000 0.4041
0.3000 10.4000 0.3997
0.3000 10.5000 0.4013
0.3000 10.6000 0.4052
0.3000 10.7000 0.4096
0.3000 10.8000 0.4039
0.3000 10.9000 0.4074
0.3000 11.0000 0.4022
0.3000 11.1000 0.4052
0.3000 11.2000 0.4069
0.3000 11.3000 0.4037
0.3000 11.4000 0.4040
0.3000 11.5000 0.3993
0.3000 11.6000 0.4012
0.3000 11.7000 0.3907
0.3000 11.8000 0.4038
0.3000 11.9000 0.4049
0.3000 12.0000 0.4043
0.3000 12.1000 0.4084
0.3000 12.2000 0.4041
0.3000 12.3000 0.4121
0.3000 12.4000 0.3998
0.3000 12.5000 0.4035
0.3000 12.6000 0.4247
0.3000 12.7000 0.4168
0.3000 12.8000 0.4168
0.3000 12.9000 0.4109
0.3000 13.0000 0.4008
0.3000 13.1000 0.4025
0.3000 13.2000 0.3936
0.3000 13.3000 0.3991
0.3000 13.4000 0.4019
0.3000 13.5000 0.4104
0.3000 13.6000 0.3951
0.3000 13.7000 0.4076
0.3000 13.8000 0.4025
0.3000 13.9000 0.4044
0.3000 14.0000 0.4288
0.3000 14.1000 0.4169
0.3000 14.2000 0.4014
0.3000 14.3000 0.4150
0.3000 14.4000 0.4088
0.3000 14.5000 0.4035
0.3000 14.6000 0.3861
0.3000 14.7000 0.3964
0.3000 14.8000 0.3982
0.3000 14.9000 0.3940
0.3000 15.0000 0.3596
0.3000 15.1000 0.3755
0.4000 0.0000 0.4058
0.4000 0.1000 0.3926
0.4000 0.2000 0.3905
0.4000 0.3000 0.4469
0.4000 0.4000 0.4147
0.4000 0.5000 0.4179
0.4000 0.6000 0.4126
0.4000 0.7000 0.3988
0.4000 0.8000 0.4286
0.4000 0.9000 0.4136
0.4000 1.0000 0.4123
0.4000 1.1000 0.3989
0.4000 1.2000 0.4038
0.4000 1.3000 0.4090
0.4000 1.4000 0.4062
0.4000 1.5000 0.3948
0.4000 1.6000 0.4031
0.4000 1.7000 0.4111
0.4000 1.8000 0.4031
0.4000 1.9000 0.4237
0.4000 2.0000 0.4098
0.4000 2.1000 0.3932
0.4000 2.2000 0.4105
0.4000 2.3000 0.4038
0.4000 2.4000 0.3938
0.4000 2.5000 0.4045
0.4000 2.6000 0.4083
0.4000 2.7000 0.4006
0.4000 2.8000 0.4145
0.4000 2.9000 0.3952
